"","year","state1","state2"
"1","1985","Alabama","Kentucky"
"2","1985","Delaware","North Dakota"
"3","1985","Illinois","Ohio"
"4","1985","Iowa","Oklahoma"
"5","1985","Iowa","South Carolina"
"6","1985","Missouri","Wisconsin"
"7","1985","New York","Texas"
"8","1985","Ohio","Pennsylvania"
"9","1985","Oklahoma","South Carolina"
"10","1986","Alabama","Kentucky"
"11","1986","Arizona","Colorado"
"12","1986","Illinois","Ohio"
"13","1986","Indiana","Missouri"
"14","1986","Iowa","South Carolina"
"15","1986","Kentucky","Oklahoma"
"16","1987","Alabama","Kentucky"
"17","1987","Florida","Pennsylvania"
"18","1987","Illinois","Ohio"
"19","1987","Indiana","Missouri"
"20","1987","Minnesota","Wisconsin"
"21","1988","Alabama","Kentucky"
"22","1988","Arizona","Colorado"
"23","1988","Arkansas","Mississippi"
"24","1988","Florida","Pennsylvania"
"25","1988","Hawaii","Rhode Island"
"26","1988","Minnesota","Wisconsin"
"27","1989","Alabama","Kentucky"
"28","1989","Arizona","Colorado"
"29","1989","Illinois","Ohio"
"30","1989","Massachusetts","Virginia"
"31","1989","Minnesota","Wisconsin"
"32","1989","North Dakota","South Dakota"
"33","1992","Alabama","Kentucky"
"34","1992","Alabama","Louisiana"
"35","1992","Georgia","North Carolina"
"36","1992","Illinois","Ohio"
"37","1992","Illinois","Pennsylvania"
"38","1992","Indiana","Missouri"
"39","1992","Maryland","Washington"
"40","1992","Minnesota","Wisconsin"
"41","1992","Ohio","Pennsylvania"
"42","1993","Alabama","Louisiana"
"43","1993","Alabama","South Carolina"
"44","1993","Arkansas","Mississippi"
"45","1993","Georgia","North Carolina"
"46","1993","Indiana","Missouri"
"47","1993","Louisiana","South Carolina"
"48","1993","New York","Texas"
"49","1993","Ohio","Pennsylvania"
"50","1994","Alabama","South Carolina"
"51","1994","Illinois","Ohio"
"52","1994","Illinois","Pennsylvania"
"53","1994","Minnesota","Wisconsin"
"54","1994","Missouri","Tennessee"
"55","1994","New York","Texas"
"56","1994","Ohio","Pennsylvania"
"57","1995","Georgia","Virginia"
"58","1995","Idaho","Maine"
"59","1995","Illinois","Ohio"
"60","1995","Indiana","Missouri"
"61","1995","Indiana","Virginia"
"62","1995","Kentucky","South Carolina"
"63","1995","Minnesota","Wisconsin"
"64","1996","Alabama","Arizona"
"65","1996","Georgia","North Carolina"
"66","1996","Idaho","Maine"
"67","1996","Minnesota","Wisconsin"
"68","1996","New Mexico","West Virginia"
"69","1996","New York","Texas"
"70","1996","Ohio","Pennsylvania"
"71","1997","Alabama","Arizona"
"72","1997","Alabama","South Carolina"
"73","1997","Idaho","Maine"
"74","1997","Indiana","Wisconsin"
"75","1997","Maryland","Washington"
"76","1997","Massachusetts","Virginia"
"77","1997","Minnesota","Wisconsin"
"78","1997","New Mexico","West Virginia"
"79","1998","Alabama","South Carolina"
"80","1998","Arkansas","Mississippi"
"81","1998","Illinois","Ohio"
"82","1998","Illinois","Pennsylvania"
"83","1998","Indiana","Wisconsin"
"84","1998","Kentucky","South Carolina"
"85","1998","Ohio","Pennsylvania"
