"","year","state","house.income","labor.pop","unem.rate","min.wage"
"1",1985,"Alabama",18333,1804882,9.5,3.35
"2",1986,"Alabama",19132,1852269,9.7,3.35
"3",1987,"Alabama",19734,1867330,8.1,3.35
"4",1988,"Alabama",19948,1874512,7.2,3.35
"5",1989,"Alabama",21284,1899124,7.1,3.35
"6",1990,"Alabama",23357,1910481,6.7,3.35
"7",1991,"Alabama",24346,1924056,7.3,3.8
"8",1992,"Alabama",25808,1962311,7.6,4.25
"9",1993,"Alabama",25082,1996532,7.3,4.25
"10",1994,"Alabama",27196,2033548,6.1,4.25
"11",1995,"Alabama",25991,2065988,6,4.25
"12",1996,"Alabama",30302,2091357,5.2,4.25
"13",1997,"Alabama",31939,2132295,5,4.75
"14",1998,"Alabama",36266,2142084,4.4,5.15
"15",1999,"Alabama",36251,2149868,4.8,5.15
"16",2000,"Alabama",35424,2147173,4.6,5.15
"17",2001,"Alabama",35160,2128027,5,5.15
"18",2002,"Alabama",37603,2112621,5.9,5.15
"19",2003,"Alabama",37255,2128668,6.1,5.15
"20",2004,"Alabama",36629,2138306,5.7,5.15
"21",2005,"Alabama",37150,2140356,4.4,5.15
"22",2006,"Alabama",37952,2170007,4,5.15
"23",2007,"Alabama",42212,2180448,4,5.15
"24",2008,"Alabama",44476,2176854,5.6,5.85
"25",2009,"Alabama",39980,2156593,10.2,6.55
"26",2010,"Alabama",40933,2197028,10.1,7.25
"27",2011,"Alabama",42590,2202337,9.8,7.25
"28",2012,"Alabama",43464,2178508,8.3,7.25
"29",2013,"Alabama",47320,2172102,7.3,7.25
"30",2014,"Alabama",42278,2164715,6.8,7.25
"31",2015,"Alabama",44509,2152295,6.2,7.25
"32",2016,"Alabama",47221,2155729,5.9,7.25
"33",2017,"Alabama",50865,2172455,4.5,7.25
"34",2018,"Alabama",49936,2207019,4,7.25
"35",1985,"Alaska",34782,249601,9.9,3.85
"36",1986,"Alaska",31356,254814,11.4,3.85
"37",1987,"Alaska",33233,249574,10.2,3.85
"38",1988,"Alaska",33103,250991,8.8,3.85
"39",1989,"Alaska",36006,257917,6.8,3.85
"40",1990,"Alaska",39298,270484,7.2,3.85
"41",1991,"Alaska",40612,276211,8.3,4.3
"42",1992,"Alaska",41802,286421,9,4.75
"43",1993,"Alaska",42931,294093,7.8,4.75
"44",1994,"Alaska",45367,300786,7.7,4.75
"45",1995,"Alaska",47954,302756,7.3,4.75
"46",1996,"Alaska",52779,308564,7.4,4.75
"47",1997,"Alaska",47994,312264,7,5.25
"48",1998,"Alaska",50692,315314,6.3,5.65
"49",1999,"Alaska",51396,318295,6.5,5.65
"50",2000,"Alaska",52847,319777,6.4,5.65
"51",2001,"Alaska",57363,321652,6.1,5.65
"52",2002,"Alaska",52774,327054,7.2,5.65
"53",2003,"Alaska",51837,332494,7.8,7.15
"54",2004,"Alaska",55063,337469,7.5,7.15
"55",2005,"Alaska",55891,344157,6.8,7.15
"56",2006,"Alaska",56418,348756,6.7,7.15
"57",2007,"Alaska",62993,350233,6.3,7.15
"58",2008,"Alaska",63989,355298,6.5,7.15
"59",2009,"Alaska",61604,359379,8.1,7.15
"60",2010,"Alaska",57848,361707,8,7.75
"61",2011,"Alaska",57431,364599,7.7,7.75
"62",2012,"Alaska",63648,364153,7.3,7.75
"63",2013,"Alaska",72472,363544,7,7.75
"64",2014,"Alaska",67629,364281,6.9,7.75
"65",2015,"Alaska",75112,362425,6.3,8.75
"66",2016,"Alaska",75723,362017,6.6,9.75
"67",2017,"Alaska",77987,361225,6.5,9.8
"68",2018,"Alaska",68734,356199,5.9,9.84
"69",1985,"Arizona",23877,1490450,6.6,3.35
"70",1986,"Arizona",25500,1569107,7.1,3.35
"71",1987,"Arizona",26749,1612643,6.4,3.35
"72",1988,"Arizona",26435,1662698,6.6,3.35
"73",1989,"Arizona",28552,1710093,5.3,3.35
"74",1990,"Arizona",29224,1785713,5.3,3.35
"75",1991,"Arizona",30737,1808277,5.5,3.8
"76",1992,"Arizona",29358,1875439,7.7,4.25
"77",1993,"Arizona",30510,1941133,6.2,4.25
"78",1994,"Arizona",31293,2105320,6.4,4.25
"79",1995,"Arizona",30863,2236926,5.4,4.25
"80",1996,"Arizona",31637,2287146,5.6,4.25
"81",1997,"Arizona",32740,2304915,4.5,4.75
"82",1998,"Arizona",37090,2389188,4.2,5.15
"83",1999,"Arizona",36995,2482545,4.6,5.15
"84",2000,"Arizona",39783,2510611,4,5.15
"85",2001,"Arizona",42704,2593664,4.4,5.15
"86",2002,"Arizona",39734,2683502,6.2,5.15
"87",2003,"Arizona",41166,2728649,5.9,5.15
"88",2004,"Arizona",43846,2788618,5,5.15
"89",2005,"Arizona",45245,2862517,4.7,5.15
"90",2006,"Arizona",46657,2970679,4.4,5.15
"91",2007,"Arizona",47215,3018805,3.5,6.75
"92",2008,"Arizona",46914,3095993,5.5,6.9
"93",2009,"Arizona",45739,3128891,9.7,7.25
"94",2010,"Arizona",46896,3096316,10.3,7.25
"95",2011,"Arizona",48621,3051937,9.6,7.35
"96",2012,"Arizona",47044,3054343,8.4,7.65
"97",2013,"Arizona",52611,3064554,7.9,7.8
"98",2014,"Arizona",49254,3118441,6.8,7.9
"99",2015,"Arizona",52248,3184445,6.1,8.05
"100",2016,"Arizona",57100,3253468,5.5,8.05
"101",2017,"Arizona",59700,3329618,4.9,10
"102",2018,"Arizona",62283,3428064,4.7,10.5
"103",1985,"Arkansas",17451,1054661,8.5,3.35
"104",1986,"Arkansas",18730,1072750,8.5,3.35
"105",1987,"Arkansas",18827,1092648,8.1,3.35
"106",1988,"Arkansas",20172,1107912,7.7,3.35
"107",1989,"Arkansas",21433,1123387,7.1,3.35
"108",1990,"Arkansas",22786,1130225,6.7,3.35
"109",1991,"Arkansas",23435,1136108,7.3,3.8
"110",1992,"Arkansas",23882,1159463,7.1,4.25
"111",1993,"Arkansas",23039,1174395,6.2,4.25
"112",1994,"Arkansas",25565,1206333,5.5,4.25
"113",1995,"Arkansas",25814,1222813,4.8,4.25
"114",1996,"Arkansas",27123,1237579,5.2,4.25
"115",1997,"Arkansas",26162,1239502,5.1,4.75
