,years,state,,
1,1985,Alabama,18333,18.3
2,1986,Alabama,19132,19.1
3,1987,Alabama,19734,19.7
4,1988,Alabama,19948,19.9
5,1989,Alabama,21284,21.3
6,1990,Alabama,23357,23.4
7,1991,Alabama,24346,24.3
8,1992,Alabama,25808,25.8
9,1993,Alabama,25082,25.1
10,1994,Alabama,27196,27.2
11,1995,Alabama,25991,26
12,1996,Alabama,30302,30.3
13,1997,Alabama,31939,31.9
14,1998,Alabama,36266,36.3
15,1999,Alabama,36251,36.3
16,2000,Alabama,35424,35.4
17,2001,Alabama,35160,35.2
18,2002,Alabama,37603,37.6
19,2003,Alabama,37255,37.3
20,2004,Alabama,36629,36.6
21,2005,Alabama,37150,37.2
22,2006,Alabama,37952,38
23,2007,Alabama,42212,42.2
24,2008,Alabama,44476,44.5
25,2009,Alabama,39980,40
26,2010,Alabama,40933,40.9
27,2011,Alabama,42590,42.6
28,2012,Alabama,43464,43.5
29,2013,Alabama,47320,47.3
30,2014,Alabama,42278,42.3
31,2015,Alabama,44509,44.5
32,2016,Alabama,47221,47.2
33,2017,Alabama,50865,50.9
34,2018,Alabama,49936,49.9
35,1985,Alaska,34782,34.8
36,1986,Alaska,31356,31.4
37,1987,Alaska,33233,33.2
38,1988,Alaska,33103,33.1
39,1989,Alaska,36006,36
40,1990,Alaska,39298,39.3
41,1991,Alaska,40612,40.6
42,1992,Alaska,41802,41.8
43,1993,Alaska,42931,42.9
44,1994,Alaska,45367,45.4
45,1995,Alaska,47954,48
46,1996,Alaska,52779,52.8
47,1997,Alaska,47994,48
48,1998,Alaska,50692,50.7
49,1999,Alaska,51396,51.4
50,2000,Alaska,52847,52.8
51,2001,Alaska,57363,57.4
52,2002,Alaska,52774,52.8
53,2003,Alaska,51837,51.8
54,2004,Alaska,55063,55.1
55,2005,Alaska,55891,55.9
56,2006,Alaska,56418,56.4
57,2007,Alaska,62993,63
58,2008,Alaska,63989,64
59,2009,Alaska,61604,61.6
60,2010,Alaska,57848,57.8
61,2011,Alaska,57431,57.4
62,2012,Alaska,63648,63.6
63,2013,Alaska,72472,72.5
64,2014,Alaska,67629,67.6
65,2015,Alaska,75112,75.1
66,2016,Alaska,75723,75.7
67,2017,Alaska,77987,78
68,2018,Alaska,68734,68.7
69,1985,Arizona,23877,23.9
70,1986,Arizona,25500,25.5
71,1987,Arizona,26749,26.7
72,1988,Arizona,26435,26.4
73,1989,Arizona,28552,28.6
74,1990,Arizona,29224,29.2
75,1991,Arizona,30737,30.7
76,1992,Arizona,29358,29.4
77,1993,Arizona,30510,30.5
78,1994,Arizona,31293,31.3
79,1995,Arizona,30863,30.9
80,1996,Arizona,31637,31.6
81,1997,Arizona,32740,32.7
82,1998,Arizona,37090,37.1
83,1999,Arizona,36995,37
84,2000,Arizona,39783,39.8
85,2001,Arizona,42704,42.7
86,2002,Arizona,39734,39.7
87,2003,Arizona,41166,41.2
88,2004,Arizona,43846,43.8
89,2005,Arizona,45245,45.2
90,2006,Arizona,46657,46.7
91,2007,Arizona,47215,47.2
92,2008,Arizona,46914,46.9
93,2009,Arizona,45739,45.7
94,2010,Arizona,46896,46.9
95,2011,Arizona,48621,48.6
96,2012,Arizona,47044,47
97,2013,Arizona,52611,52.6
98,2014,Arizona,49254,49.3
