,years,state,labor.pop
1,1985,Alabama,1804882
2,1986,Alabama,1852269
3,1987,Alabama,1867330
4,1988,Alabama,1874512
5,1989,Alabama,1899124
6,1990,Alabama,1910481
7,1991,Alabama,1924056
8,1992,Alabama,1962311
9,1993,Alabama,1996532
10,1994,Alabama,2033548
11,1995,Alabama,2065988
12,1996,Alabama,2091357
13,1997,Alabama,2132295
14,1998,Alabama,2142084
15,1999,Alabama,2149868
16,2000,Alabama,2147173
17,2001,Alabama,2128027
18,2002,Alabama,2112621
19,2003,Alabama,2128668
20,2004,Alabama,2138306
21,2005,Alabama,2140356
22,2006,Alabama,2170007
23,2007,Alabama,2180448
24,2008,Alabama,2176854
25,2009,Alabama,2156593
26,2010,Alabama,2197028
27,2011,Alabama,2202337
28,2012,Alabama,2178508
29,2013,Alabama,2172102
30,2014,Alabama,2164715
31,2015,Alabama,2152295
32,2016,Alabama,2155729
33,2017,Alabama,2172455
34,2018,Alabama,2207019
35,1985,Alaska,249601
36,1986,Alaska,254814
37,1987,Alaska,249574
38,1988,Alaska,250991
39,1989,Alaska,257917
40,1990,Alaska,270484
41,1991,Alaska,276211
42,1992,Alaska,286421
43,1993,Alaska,294093
44,1994,Alaska,300786
45,1995,Alaska,302756
46,1996,Alaska,308564
47,1997,Alaska,312264
48,1998,Alaska,315314
49,1999,Alaska,318295
50,2000,Alaska,319777
51,2001,Alaska,321652
52,2002,Alaska,327054
53,2003,Alaska,332494
54,2004,Alaska,337469
55,2005,Alaska,344157
56,2006,Alaska,348756
57,2007,Alaska,350233
58,2008,Alaska,355298
59,2009,Alaska,359379
60,2010,Alaska,361707
61,2011,Alaska,364599
62,2012,Alaska,364153
63,2013,Alaska,363544
64,2014,Alaska,364281
65,2015,Alaska,362425
66,2016,Alaska,362017
67,2017,Alaska,361225
68,2018,Alaska,356199
69,1985,Arizona,1490450
70,1986,Arizona,1569107
71,1987,Arizona,1612643
72,1988,Arizona,1662698
73,1989,Arizona,1710093
74,1990,Arizona,1785713
75,1991,Arizona,1808277
76,1992,Arizona,1875439
77,1993,Arizona,1941133
78,1994,Arizona,2105320
79,1995,Arizona,2236926
80,1996,Arizona,2287146
81,1997,Arizona,2304915
82,1998,Arizona,2389188
83,1999,Arizona,2482545
84,2000,Arizona,2510611
85,2001,Arizona,2593664
86,2002,Arizona,2683502
87,2003,Arizona,2728649
88,2004,Arizona,2788618
89,2005,Arizona,2862517
90,2006,Arizona,2970679
91,2007,Arizona,3018805
92,2008,Arizona,3095993
93,2009,Arizona,3128891
94,2010,Arizona,3096316
95,2011,Arizona,3051937
96,2012,Arizona,3054343
97,2013,Arizona,3064554
98,2014,Arizona,3118441
99,2015,Arizona,3184445
100,2016,Arizona,3253468
101,2017,Arizona,3329618
102,2018,Arizona,3428064
103,1985,Arkansas,1054661
